시군명,사업장명,영업상태명,전통사찰명,창립연대정보,인허가일자,소재지우편번호,소재지지번주소,소재지도로명주소,경도,위도
안산시,쌍계사,운영중,쌍계사,1689,19880728,15640,경기도 안산시 단원구 대부북동 1058,경기도 안산시 단원구 대부황금로 1171,126.57862568,37.262843125
안산시,화림선원,운영중,화림선원,고려시대(연대미상),19881025,,경기도 안산시 상록구 일동,경기도 안산시 상록구 도매시장로 140 (일동),,
안성시,청룡사,운영중,청룡사,1265,19880728,17609,경기도 안성시 서운면 청용리 28,경기도 안성시 서운면 청룡길 140,127.2888202,36.913559251
안성시,석남사,운영중,석남사,680,19880728,17538,경기도 안성시 금광면 상중리 508,경기도 안성시 금광면 상촌새말길 3-120,127.30699055,36.939645379
안성시,용화사,운영중,용화사,1902,19880728,17603,경기도 안성시 미양면 법전리 181,경기도 안성시 미양면 법전길 260-31,127.20830174,36.945750092
안성시,운수암,운영중,운수암,1750,19880728,17503,경기도 안성시 양성면 방신리 85,경기도 안성시 양성면 성하길 80-63,127.16969,37.036350121
안성시,청원사,운영중,청원사,삼국시대,19880728,17554,경기도 안성시 원곡면 성은리 397,경기도 안성시 원곡면 통심길 16-102,127.17382594,37.071323404
안성시,칠장사,운영중,칠장사,7세기중엽,19880728,17524,경기도 안성시 죽산면 칠장리 764,경기도 안성시 죽산면 칠장로 399-18,127.39764574,37.026385662
안양시,염불사,운영중,염불사,926,19881025,,경기도 안양시 만안구 석수동,경기도 안양시 만안구 예술공원로245번길 150 (석수동),,
안양시,안양사,운영중,안양사,901,19880728,13912,경기도 안양시 만안구 석수동 242 - 3 안양사,경기도 안양시 만안구 예술공원로131번길 103,126.92403935,37.422408281
안양시,삼막사,운영중,삼막사,677,19880728,13910,경기도 안양시 만안구 석수동 241-54,경기도 안양시 만안구 삼막로 478,126.93603754,37.434381008
안양시,망해암,운영중,망해암,신라시대,19881025,13914,경기도 안양시 만안구 안양동 19 - 4,,126.91990256,37.414026099
양주시,백화암,운영중,백화암,898,19881025,,경기도 양주시 유양동,경기도 양주시 부흥로 1325-194 (유양동),,
양주시,석굴암,운영중,석굴암,조선초기,19980924,,경기도 양주시 장흥면 교현리 산1,,,
양주시,회암사,운영중,회암사,1328,19630926,,경기도 양주시 회암동,경기도 양주시 회암사길 281 (회암동),,
양평군,용문사,운영중,용문사,913,19880728,12510,경기도 양평군 용문면 신점리 625,경기도 양평군 용문면 용문산로 782,127.57068988,37.550155031
양평군,사나사,운영중,사나사,923,19880728,12506,경기도 양평군 옥천면 용천리 304,경기도 양평군 옥천면 사나사길 329,127.50630545,37.537436958
양평군,대성사,운영중,대성사,1917,19881025,12541,경기도 양평군 지평면 송현리 산 91,경기도 양평군 지평면 역말4길 58,,
양평군,상원사,운영중,상원사,연대미상,19880728,12509,경기도 양평군 용문면 연수리 산 73,경기도 양평군 용문면 상원사길 292,,
여주군,신륵사,운영중,신륵사,신라 진평왕,19880728,,경기도 여주시 천송동,,,
여주군,흥왕사,운영중,흥왕사,1880,19880728,12614,경기도 여주시 북내면 중암리,,,
여주군,대법사,운영중,대법사,1850,19880728,12657,경기도 여주시 가남읍 안금리 98,경기도 여주시 가남읍 안금3길 3-43,127.60466685,37.228754307
여주군,대성사,운영중,대성사,1949,20050119,12601,경기도 여주시 금사면 외평리 453,경기도 여주시 금사면 발림길 89-47,127.51117261,37.390789098
연천군,원심원사,운영중,원심원사,647,20100222,11002,경기도 연천군 신서면 내산리 354,경기도 연천군 신서면 동내로970번길 32-268,127.15260712,38.128243139
오산시,보적사,운영중,보적사,삼국시대,19880728,18102,경기도 오산시 지곶동,경기도 오산시 독산성로269번길 144 (지곶동),,
용인시,동도사,운영중,동도사,신라말,19900421,,경기도 용인시 처인구 이동면 어비리 산 99 - 2,경기도 용인시 처인구 이동면 경기동로1024번길 9-49,,
용인시,백련사,운영중,백련사,801,19880728,,경기도 용인시 처인구 포곡읍 가실리 산 43,경기도 용인시 처인구 포곡읍 에버랜드로456번길 290,,
용인시,용덕사,운영중,용덕사,860,19880728,,경기도 용인시 처인구 이동면 묵리 산 57,경기도 용인시 처인구 이동면 이원로 471-41,,
의왕시,청계사,운영중,청계사,1202,19880728,16000,경기도 의왕시 청계동 11,경기도 의왕시 청계로 475,127.03502901,37.411744278
의왕시,백운사,운영중,백운사,1370,19880728,,경기도 의왕시 왕곡동,경기도 의왕시 왕곡로 323 (왕곡동),,
의정부시,석림사,운영중,석림사,1676,20011102,,경기도 의정부시 장암동,경기도 의정부시 동일로122번길 177 (장암동),,
의정부시,원효사,운영중,원효사,신라시대(연대미상),19881025,11645,경기도 의정부시 호원동 229-149,경기도 의정부시 망월로28번길 356,127.02821662,37.709160709
의정부시,미륵암,운영중,미륵암,1460,19881025,,경기도 의정부시 고산동,경기도 의정부시 고산로65번길 94 (고산동),,
의정부시,망월사,운영중,망월사,639,19630118,11645,경기도 의정부시 호원동 413,경기도 의정부시 망월로28번길 211-500,127.02132047,37.704657182
의정부시,회룡사,운영중,회룡사,681,19880728,,경기도 의정부시 호원동,경기도 의정부시 전좌로155번길 262 (호원동),,
의정부시,성불사,운영중,성불사,1894,20160114,,경기도 의정부시 가능동 산 81 - 2,경기도 의정부시 호국로1114번길 142 (가능동),,
이천시,신흥사,운영중,신흥사,연대미상,19880728,17415,경기도 이천시 장호원읍 선읍리 산93-1,경기도 이천시 장호원읍 경충대로519번길 246-314,,
이천시,영월암,운영중,영월암,신라시대,19880728,,경기도 이천시 관고동,경기도 이천시 경충대로2709번길 388 (관고동),,
이천시,연화정사,운영중,연화정사,연대미상,19880728,17410,경기도 이천시 설성면 자석리 산 51,경기도 이천시 설성면 설성로570번길 50-319,,
이천시,영원사,운영중,영원사,638,19880728,17309,경기도 이천시 백사면 송말리 436,경기도 이천시 백사면 원적로869번길 309-52,127.46257003,37.353677388
파주시,용상사,운영중,용상사,1108,19881025,,경기도 파주시 월롱면 덕은리 산 137 - 1,경기도 파주시 월롱면 용상골길 403,,
파주시,보광사,운영중,보광사,894,19670609,10953,경기도 파주시 광탄면 영장리,경기도 파주시 광탄면 보광로474번길 87,,
파주시,용암사,운영중,용암사,1840,19881025,,경기도 파주시 광탄면 용미리,경기도 파주시 광탄면 혜음로 742-28,,
파주시,검단사,운영중,검단사,1940,19621228,,경기도 파주시 탄현면 성동리,경기도 파주시 탄현면 필승로 292-33,,
평택시,만기사,운영중,만기사,942,19880728,,경기도 평택시 진위면 동천리,경기도 평택시 진위면 진위로 181-82,,
평택시,심복사,운영중,심복사,연대미상,19880728,,경기도 평택시 현덕면 덕목리,경기도 평택시 현덕면 덕목5길 47-24,,
평택시,약사사,운영중,약사사,842,19880728,17817,경기도 평택시 안중읍 용성리,경기도 평택시 안중읍 용성3길 120-10,,
평택시,보국사,운영중,보국사,1910,19880728,17788,경기도 평택시 서탄면 장등리 621,경기도 평택시 서탄면 장등안길 38,127.02142567,37.075175497
평택시,수도사,운영중,수도사,852,19880728,,경기도 평택시 포승읍 원정리 산119-1,경기도 평택시 포승읍 호암길 58,,
평택시,자비사,운영중,자비사,백제중기(연대미상),19881025,,경기도 평택시 팽성읍 객사리,경기도 평택시 팽성읍 동서촌로 137,,
평택시,서천사,운영중,서천사,1352,20040221,17821,경기도 평택시 고덕면 방축리 103 - 1,경기도 평택시 고덕면 방축4길 22-49,127.04414286,37.015573476
포천시,흥룡사,운영중,흥룡사,1903,19881025,11110,경기도 포천시 이동면 도평리 38,경기도 포천시 이동면 포화로 236-73,127.40996494,38.071426438
포천시,원통사,운영중,원통사,1944,19630715,,경기도 포천시 일동면 유동리 산12,경기도 포천시 일동면 화동로 738-1,,
포천시,왕산사,운영중,왕산사,신라말,19881025,,경기도 포천시 신읍동,경기도 포천시 호병골길 193 (신읍동),,
하남시,선법사,운영중,선법사,백제시대,20050124,13018,경기도 하남시 교산동 55-1,경기도 하남시 서하남로588번길 125,127.20859317,37.518040534
화성시,신흥사,운영중,신흥사,1934,19880728,18555,경기도 화성시 서신면 상안리 72-11,경기도 화성시 서신면 신흥사길 17-34,126.7095398,37.193382863
화성시,봉림사,운영중,봉림사,1300,19880728,18255,경기도 화성시 남양읍 북양리 642번지,경기도 화성시 남양읍 주석로80번길 139,126.84553591,37.205805545
화성시,용주사,운영중,용주사,854,19880728,18347,경기도 화성시 송산동 188,경기도 화성시 용주로 136,127.0050112,37.212190262
화성시,만의사,운영중,만의사,1360,19880728,18465,경기도 화성시 동탄면 중리 140,경기도 화성시 동탄면 풀무골로 219,127.14993923,37.209495017
